handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
False,t2.json,0.0,False,False,False,q-prod,cost,350.969
False,t2.json,0.0,False,False,False,2d-conv,time,53.345147132873535
False,t2.json,0.0,False,False,False,2d-conv,cost,29.739999999999995
False,t2.json,2.0,True,True,True,q-prod,time,58.07450270652771
False,t2.json,2.0,True,True,True,q-prod,cost,66.59400000000001
False,t2.json,2.0,True,True,True,2d-conv,time,57.03186297416687
False,t2.json,2.0,True,True,True,2d-conv,cost,33.74000000000001
False,t2.json,2.0,True,True,False,q-prod,time,4.748678922653198
False,t2.json,2.0,True,True,False,q-prod,cost,74.59800000000001
False,t2.json,2.0,True,True,False,2d-conv,time,3.545912265777588
False,t2.json,2.0,True,True,False,2d-conv,cost,45.748000000000005
False,t2.json,2.0,True,False,True,q-prod,time,55.44859457015991
False,t2.json,2.0,True,False,True,q-prod,cost,65.586
False,t2.json,2.0,True,False,True,2d-conv,time,54.55824160575867
False,t2.json,2.0,True,False,True,2d-conv,cost,33.74000000000001
False,t2.json,2.0,True,False,False,q-prod,time,4.382270812988281
False,t2.json,2.0,True,False,False,q-prod,cost,74.58600000000001
False,t2.json,2.0,True,False,False,2d-conv,time,3.419951915740967
False,t2.json,2.0,True,False,False,2d-conv,cost,45.74
False,t2.json,2.0,False,True,True,q-prod,time,57.48973894119263
False,t2.json,2.0,False,True,True,q-prod,cost,68.58800000000001
False,t2.json,2.0,False,True,True,2d-conv,time,54.96754264831543
False,t2.json,2.0,False,True,True,2d-conv,cost,33.74
False,t2.json,2.0,False,True,False,q-prod,time,7.423346996307373
False,t2.json,2.0,False,True,False,q-prod,cost,74.596
False,t2.json,2.0,False,True,False,2d-conv,time,4.205772161483765
False,t2.json,2.0,False,True,False,2d-conv,cost,45.751999999999995
False,t2.json,2.0,False,False,True,q-prod,time,56.214033126831055
False,t2.json,2.0,False,False,True,q-prod,cost,61.484
False,t2.json,2.0,False,False,True,2d-conv,time,54.57933187484741
False,t2.json,2.0,False,False,True,2d-conv,cost,33.74000000000001
False,t2.json,2.0,False,False,False,q-prod,time,6.197690963745117
False,t2.json,2.0,False,False,False,q-prod,cost,74.58600000000001
False,t2.json,2.0,False,False,False,2d-conv,time,3.821216583251953
False,t2.json,2.0,False,False,False,2d-conv,cost,45.74
False,t2.json,5.0,True,True,True,q-prod,time,56.43312883377075
False,t2.json,5.0,True,True,True,q-prod,cost,66.59400000000001
False,t2.json,5.0,True,True,True,2d-conv,time,54.75549602508545
False,t2.json,5.0,True,True,True,2d-conv,cost,33.74000000000001
False,t2.json,5.0,True,True,False,q-prod,time,4.626614093780518
False,t2.json,5.0,True,True,False,q-prod,cost,74.59800000000001
False,t2.json,5.0,True,True,False,2d-conv,time,3.509434938430786
False,t2.json,5.0,True,True,False,2d-conv,cost,45.748000000000005
False,t2.json,5.0,True,False,True,q-prod,time,55.81996011734009
False,t2.json,5.0,True,False,True,q-prod,cost,65.586
False,t2.json,5.0,True,False,True,2d-conv,time,55.13717293739319
False,t2.json,5.0,True,False,True,2d-conv,cost,33.74000000000001
False,t2.json,5.0,True,False,False,q-prod,time,4.348303318023682
False,t2.json,5.0,True,False,False,q-prod,cost,74.58600000000001
False,t2.json,5.0,True,False,False,2d-conv,time,3.3958888053894043
False,t2.json,5.0,True,False,False,2d-conv,cost,45.74
False,t2.json,5.0,False,True,True,q-prod,time,57.288888454437256
False,t2.json,5.0,False,True,True,q-prod,cost,68.58800000000001
False,t2.json,5.0,False,True,True,2d-conv,time,54.90232872962952
False,t2.json,5.0,False,True,True,2d-conv,cost,33.74
False,t2.json,5.0,False,True,False,q-prod,time,6.897390127182007
False,t2.json,5.0,False,True,False,q-prod,cost,74.596
False,t2.json,5.0,False,True,False,2d-conv,time,4.1554114818573
False,t2.json,5.0,False,True,False,2d-conv,cost,45.751999999999995
False,t2.json,5.0,False,False,True,q-prod,time,56.0254762172699
False,t2.json,5.0,False,False,True,q-prod,cost,61.484
False,t2.json,5.0,False,False,True,2d-conv,time,54.543768882751465
False,t2.json,5.0,False,False,True,2d-conv,cost,33.74000000000001
False,t2.json,5.0,False,False,False,q-prod,time,6.03916335105896
False,t2.json,5.0,False,False,False,q-prod,cost,74.58600000000001
False,t2.json,5.0,False,False,False,2d-conv,time,3.758354663848877
False,t2.json,5.0,False,False,False,2d-conv,cost,45.74
False,t2.json,,True,True,True,q-prod,time,Timed out.
False,t2.json,,True,True,True,q-prod,cost,-1.0
False,t2.json,,True,True,True,2d-conv,time,Timed out.
False,t2.json,,True,True,True,2d-conv,cost,-1.0
False,t2.json,,True,True,False,q-prod,time,Timed out.
False,t2.json,,True,True,False,q-prod,cost,-1.0
False,t2.json,,True,True,False,2d-conv,time,Timed out.
False,t2.json,,True,True,False,2d-conv,cost,-1.0
False,t2.json,,True,False,True,q-prod,time,52.7303352355957
False,t2.json,,True,False,True,q-prod,cost,597.0640000000001
False,t2.json,,True,False,True,2d-conv,time,52.737236976623535
False,t2.json,,True,False,True,2d-conv,cost,462.64699999999993
False,t2.json,,True,False,False,q-prod,time,52.764734506607056
False,t2.json,,True,False,False,q-prod,cost,597.0640000000001
False,t2.json,,True,False,False,2d-conv,time,52.71812701225281
False,t2.json,,True,False,False,2d-conv,cost,462.64699999999993
False,t2.json,,False,True,True,q-prod,time,Timed out.
False,t2.json,,False,True,True,q-prod,cost,-1.0
False,t2.json,,False,True,True,2d-conv,time,Timed out.
False,t2.json,,False,True,True,2d-conv,cost,-1.0
False,t2.json,,False,True,False,q-prod,time,Timed out.
False,t2.json,,False,True,False,q-prod,cost,-1.0
False,t2.json,,False,True,False,2d-conv,time,Timed out.
False,t2.json,,False,True,False,2d-conv,cost,-1.0
False,t2.json,,False,False,True,q-prod,time,52.758134841918945
False,t2.json,,False,False,True,q-prod,cost,597.0640000000001
False,t2.json,,False,False,True,2d-conv,time,52.72000503540039
False,t2.json,,False,False,True,2d-conv,cost,462.64699999999993
False,t2.json,,False,False,False,q-prod,time,52.74346375465393
False,t2.json,,False,False,False,q-prod,cost,597.0640000000001
False,t2.json,,False,False,False,2d-conv,time,52.75244975090027
False,t2.json,,False,False,False,2d-conv,cost,462.64699999999993
False,,0.0,True,True,True,q-prod,time,0.006074666976928711
False,,0.0,True,True,True,q-prod,cost,606.5590000000001
False,,0.0,True,True,True,2d-conv,time,0.004790306091308594
False,,0.0,True,True,True,2d-conv,cost,912.9159999999999
False,,0.0,True,True,False,q-prod,time,0.005544900894165039
False,,0.0,True,True,False,q-prod,cost,606.5590000000001
False,,0.0,True,True,False,2d-conv,time,0.00454401969909668
