rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-6000.json,,False,False,mat-mul,53,phase_1_n,4670
time-ablation/rules-t-6000.json,,False,False,mat-mul,53,phase_2_n,
time-ablation/rules-t-6000.json,,False,False,mat-mul,53,impr_cost,
time-ablation/rules-t-60000.json,0,True,False,q-prod,54,time,2.2054026126861572
time-ablation/rules-t-60000.json,0,True,False,q-prod,54,cost,-1.0
time-ablation/rules-t-60000.json,0,True,False,q-prod,54,phase_1_n,
time-ablation/rules-t-60000.json,0,True,False,q-prod,54,phase_2_n,
time-ablation/rules-t-60000.json,0,True,False,q-prod,54,impr_cost,
time-ablation/rules-t-60000.json,0,True,False,2d-conv,55,time,2.169905424118042
time-ablation/rules-t-60000.json,0,True,False,2d-conv,55,cost,-1.0
time-ablation/rules-t-60000.json,0,True,False,2d-conv,55,phase_1_n,
time-ablation/rules-t-60000.json,0,True,False,2d-conv,55,phase_2_n,
time-ablation/rules-t-60000.json,0,True,False,2d-conv,55,impr_cost,
time-ablation/rules-t-60000.json,0,True,False,mat-mul,56,time,2.170375347137451
time-ablation/rules-t-60000.json,0,True,False,mat-mul,56,cost,-1.0
time-ablation/rules-t-60000.json,0,True,False,mat-mul,56,phase_1_n,
time-ablation/rules-t-60000.json,0,True,False,mat-mul,56,phase_2_n,
time-ablation/rules-t-60000.json,0,True,False,mat-mul,56,impr_cost,
time-ablation/rules-t-60000.json,0,False,False,q-prod,57,time,2.1714541912078857
time-ablation/rules-t-60000.json,0,False,False,q-prod,57,cost,-1.0
time-ablation/rules-t-60000.json,0,False,False,q-prod,57,phase_1_n,
time-ablation/rules-t-60000.json,0,False,False,q-prod,57,phase_2_n,
time-ablation/rules-t-60000.json,0,False,False,q-prod,57,impr_cost,
time-ablation/rules-t-60000.json,0,False,False,2d-conv,58,time,2.1558847427368164
time-ablation/rules-t-60000.json,0,False,False,2d-conv,58,cost,-1.0
time-ablation/rules-t-60000.json,0,False,False,2d-conv,58,phase_1_n,
time-ablation/rules-t-60000.json,0,False,False,2d-conv,58,phase_2_n,
time-ablation/rules-t-60000.json,0,False,False,2d-conv,58,impr_cost,
time-ablation/rules-t-60000.json,0,False,False,mat-mul,59,time,2.156919002532959
time-ablation/rules-t-60000.json,0,False,False,mat-mul,59,cost,-1.0
time-ablation/rules-t-60000.json,0,False,False,mat-mul,59,phase_1_n,
time-ablation/rules-t-60000.json,0,False,False,mat-mul,59,phase_2_n,
time-ablation/rules-t-60000.json,0,False,False,mat-mul,59,impr_cost,
time-ablation/rules-t-60000.json,5,True,False,q-prod,60,time,2.145359516143799
time-ablation/rules-t-60000.json,5,True,False,q-prod,60,cost,-1.0
time-ablation/rules-t-60000.json,5,True,False,q-prod,60,phase_1_n,
time-ablation/rules-t-60000.json,5,True,False,q-prod,60,phase_2_n,
time-ablation/rules-t-60000.json,5,True,False,q-prod,60,impr_cost,
time-ablation/rules-t-60000.json,5,True,False,2d-conv,61,time,2.16682505607605
time-ablation/rules-t-60000.json,5,True,False,2d-conv,61,cost,-1.0
time-ablation/rules-t-60000.json,5,True,False,2d-conv,61,phase_1_n,
time-ablation/rules-t-60000.json,5,True,False,2d-conv,61,phase_2_n,
time-ablation/rules-t-60000.json,5,True,False,2d-conv,61,impr_cost,
time-ablation/rules-t-60000.json,5,True,False,mat-mul,62,time,2.153810739517212
time-ablation/rules-t-60000.json,5,True,False,mat-mul,62,cost,-1.0
time-ablation/rules-t-60000.json,5,True,False,mat-mul,62,phase_1_n,
time-ablation/rules-t-60000.json,5,True,False,mat-mul,62,phase_2_n,
time-ablation/rules-t-60000.json,5,True,False,mat-mul,62,impr_cost,
time-ablation/rules-t-60000.json,5,False,False,q-prod,63,time,2.192617893218994
time-ablation/rules-t-60000.json,5,False,False,q-prod,63,cost,-1.0
