iteration,name,cd,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
10,div-1-inv,-2.001,16,1382581,21283,54.526999999999994,1382597,21283,54.526999999999994,0
10,expand-zero-get,-0.002,0,1382597,21283,54.526999999999994,1382597,21283,54.526999999999994,0
10,litvec,0.099,0,1382597,21283,54.526999999999994,1382597,21283,54.526999999999994,0
10,neg-neg,3.9999999999999996,0,1382597,21283,54.526999999999994,1382597,21283,54.526999999999994,0
10,neg-neg-rev,-3.9999999999999996,8,1382597,21283,54.526999999999994,1382613,21291,54.526999999999994,0
10,neg-sgn,0,0,1382613,21291,54.526999999999994,1382613,21291,54.526999999999994,0
10,neg-sgn-rev,0,0,1382613,21291,54.526999999999994,1382613,21291,54.526999999999994,0
10,neg-zero-inv,-2,0,1382613,21291,54.526999999999994,1382613,21291,54.526999999999994,0
10,neg-zero-inv-rev,2,0,1382613,21291,54.526999999999994,1382613,21291,54.526999999999994,0
10,neg-minus,-0.0009999999999998899,16,1382613,21291,54.526999999999994,1382629,21291,54.526999999999994,0
10,neg-minus-rev,0.0009999999999998899,0,1382629,21291,54.526999999999994,1382629,21291,54.526999999999994,0
10,neg-minus-zero,-0.0009999999999998899,0,1382629,21291,54.526999999999994,1382629,21291,54.526999999999994,0
10,neg-minus-zero-rev,0.0009999999999998899,0,1382629,21291,54.526999999999994,1382629,21291,54.526999999999994,0
10,vec-mac-add-mul,1,480,1382629,21291,54.526999999999994,1382629,21275,54.526999999999994,0
10,neg_unop,102.9,0,1382629,21275,54.526999999999994,1382629,21275,54.526999999999994,0
